config_0,config_1,config_2,config_3
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
