config_0,config_1,config_2,config_3
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6523645 -0.6978383  1.7489728 -1.9247007 -1.5266362  0.342633 ],[ 0.25166127 -0.264418    1.6493596  -1.4102906  -1.3078407  -0.35337174],[ 1.5746611  -0.35769415  1.0650492  -0.738135   -1.5709554   3.002159  ],[3.524487  5.05007   2.152654  1.0072668 2.3455694 3.5528162]
[ 1.6523645 -0.6978383  1.7489728 -1.9247007 -1.5266362  0.342633 ],[ 0.25166127 -0.264418    1.6493596  -1.4102906  -1.3078407  -0.35337174],[ 1.5746611  -0.35769415  1.0650492  -0.738135   -1.5709554   3.002159  ],[3.524487  5.05007   2.152654  1.0072668 2.3455694 3.5528162]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
